Feature,Frequence
OverallQual,4
BsmtFinSF1,4
BsmtFinSF2,3
BsmtUnfSF,3
TotalBsmtSF,5
1stFlrSF,4
2ndFlrSF,4
LowQualFinSF,2
GrLivArea,5
BsmtFullBath,2
BsmtHalfBath,2
FullBath,4
BedroomAbvGr,2
KitchenAbvGr,2
GarageCars,4
LotArea,2
YearBuilt,3
YearRemodAdd,3
GarageArea,3
TotRmsAbvGrd,2
